Date,Close
2022-09-10,45.77
2022-09-11,45.77
2022-09-12,46.4
2022-09-13,44.11
2022-09-14,43.96
2022-09-15,43.29
2022-09-16,43.3
2022-09-17,43.3
2022-09-18,43.3
2022-09-19,43.3
2022-09-20,42.58
2022-09-21,41.59
2022-09-22,41.15
2022-09-23,40.66
2022-09-24,40.66
2022-09-25,40.66
2022-09-26,40.58
2022-09-27,40.52
2022-09-28,41.34
2022-09-29,40.57
2022-09-30,40.0
2022-10-01,40.0
2022-10-02,40.0
2022-10-03,41.29
2022-10-04,41.82
2022-10-05,41.99
2022-10-06,41.52
2022-10-07,40.27
2022-10-08,40.27
2022-10-09,40.27
2022-10-10,39.89
2022-10-11,39.58
2022-10-12,39.27
2022-10-13,40.61
2022-10-14,40.2
2022-10-15,40.2
2022-10-16,40.2
2022-10-17,41.3
2022-10-18,41.79
2022-10-19,41.88
2022-10-20,41.71
2022-10-21,42.8
2022-10-22,42.8
2022-10-23,42.8
2022-10-24,43.54
2022-10-25,44.36
2022-10-26,44.38
2022-10-27,44.42
2022-10-28,45.64
2022-10-29,45.64
2022-10-30,45.64
2022-10-31,45.43
2022-11-01,45.46
2022-11-02,44.57
2022-11-03,43.85
2022-11-04,44.52
2022-11-05,44.52
2022-11-06,44.52
2022-11-07,44.55
2022-11-08,44.61
2022-11-09,43.91
2022-11-10,45.66
2022-11-11,44.79
2022-11-12,44.79
2022-11-13,44.79
2022-11-14,44.74
2022-11-15,44.9
2022-11-16,44.39
2022-11-17,46.59
2022-11-18,47.79
2022-11-19,47.79
2022-11-20,47.79
2022-11-21,47.62
2022-11-22,48.38
2022-11-23,48.57
2022-11-24,48.57
2022-11-25,48.4
2022-11-26,48.4
2022-11-27,48.4
2022-11-28,48.08
2022-11-29,48.28
2022-11-30,49.72
2022-12-01,49.97
2022-12-02,49.7
2022-12-03,49.7
2022-12-04,49.7
2022-12-05,49.33
2022-12-06,48.59
2022-12-07,48.18
2022-12-08,48.99
2022-12-09,48.46
2022-12-10,48.46
2022-12-11,48.46
2022-12-12,49.3
2022-12-13,49.64
2022-12-14,49.3
2022-12-15,48.15
2022-12-16,47.81
2022-12-17,47.81
2022-12-18,47.81
2022-12-19,47.4
2022-12-20,47.37
2022-12-21,47.66
2022-12-22,47.32
2022-12-23,47.48
2022-12-24,47.48
2022-12-25,47.48
2022-12-26,47.48
2022-12-27,47.53
2022-12-28,47.07
2022-12-29,47.5
2022-12-30,47.64
2022-12-31,47.64
2023-01-01,47.64
2023-01-02,47.64
2023-01-03,47.94
2023-01-04,47.55
2023-01-05,46.88
2023-01-06,48.32
2023-01-07,48.32
2023-01-08,48.32
2023-01-09,48.58
2023-01-10,48.81
2023-01-11,49.21
2023-01-12,49.0
2023-01-13,48.88
2023-01-14,48.88
2023-01-15,48.88
2023-01-16,48.88
2023-01-17,48.08
2023-01-18,46.9
2023-01-19,46.46
2023-01-20,46.78
2023-01-21,46.78
2023-01-22,46.78
2023-01-23,47.5
2023-01-24,47.81
2023-01-25,47.98
2023-01-26,48.34
2023-01-27,48.51
2023-01-28,48.51
2023-01-29,48.51
2023-01-30,48.22
2023-01-31,48.67
2023-02-01,48.57
2023-02-02,49.32
2023-02-03,48.63
2023-02-04,48.63
2023-02-05,48.63
2023-02-06,47.57
2023-02-07,47.84
2023-02-08,46.96
2023-02-09,46.73
2023-02-10,47.26
2023-02-11,47.26
2023-02-12,47.26
2023-02-13,47.86
2023-02-14,47.7
2023-02-15,48.45
2023-02-16,50.99
2023-02-17,50.77
2023-02-18,50.77
2023-02-19,50.77
2023-02-20,50.77
2023-02-21,49.69
2023-02-22,49.31
2023-02-23,49.21
2023-02-24,48.48
2023-02-25,48.48
2023-02-26,48.48
2023-02-27,48.73
2023-02-28,48.42
2023-03-01,48.34
2023-03-02,48.53
2023-03-03,49.28
2023-03-04,49.28
2023-03-05,49.28
2023-03-06,49.42
2023-03-07,48.91
2023-03-08,49.11
2023-03-09,48.81
2023-03-10,48.56
2023-03-11,48.56
2023-03-12,48.56
2023-03-13,48.41
2023-03-14,49.05
2023-03-15,49.06
2023-03-16,50.12
2023-03-17,50.19
2023-03-18,50.19
2023-03-19,50.19
2023-03-20,50.94
2023-03-21,50.67
2023-03-22,49.46
2023-03-23,49.73
2023-03-24,50.51
2023-03-25,50.51
2023-03-26,50.51
2023-03-27,50.54
2023-03-28,50.39
2023-03-29,51.17
2023-03-30,51.43
2023-03-31,52.275
2023-04-01,52.275
2023-04-02,52.275
2023-04-03,52.31
2023-04-04,51.82
2023-04-05,51.82
2023-04-06,51.27
2023-04-07,51.27
2023-04-08,51.27
2023-04-09,51.27
2023-04-10,51.33
2023-04-11,50.62
2023-04-12,50.11
2023-04-13,50.8
2023-04-14,50.54
2023-04-15,50.54
2023-04-16,50.54
2023-04-17,50.28
2023-04-18,50.31
2023-04-19,48.04
2023-04-20,46.58
2023-04-21,47.03
2023-04-22,47.03
2023-04-23,47.03
2023-04-24,47.39
2023-04-25,47.09
2023-04-26,46.54
2023-04-27,46.56
2023-04-28,47.25
2023-04-29,47.25
2023-04-30,47.25
2023-05-01,47.34
2023-05-02,46.36
2023-05-03,45.96
2023-05-04,45.7
2023-05-05,46.25
2023-05-06,46.25
2023-05-07,46.25
2023-05-08,46.34
2023-05-09,46.47
2023-05-10,46.71
2023-05-11,46.37
2023-05-12,46.71
2023-05-13,46.71
2023-05-14,46.71
2023-05-15,47.1
2023-05-16,46.92
2023-05-17,47.63
2023-05-18,48.2
2023-05-19,49.13
2023-05-20,49.13
2023-05-21,49.13
2023-05-22,48.82
2023-05-23,48.91
2023-05-24,48.41
2023-05-25,49.03
2023-05-26,49.86
2023-05-27,49.86
2023-05-28,49.86
2023-05-29,49.86
2023-05-30,50.17
2023-05-31,49.67
2023-06-01,49.74
2023-06-02,50.02
2023-06-03,50.02
2023-06-04,50.02
2023-06-05,50.21
2023-06-06,49.81
2023-06-07,49.78
2023-06-08,49.68
2023-06-09,49.66
2023-06-10,49.66
2023-06-11,49.66
2023-06-12,50.48
2023-06-13,50.8
2023-06-14,50.96
2023-06-15,51.93
2023-06-16,52.07
2023-06-17,52.07
2023-06-18,52.07
2023-06-19,52.07
2023-06-20,51.55
2023-06-21,50.85
2023-06-22,51.12
2023-06-23,50.33
2023-06-24,50.33
2023-06-25,50.33
2023-06-26,50.21
2023-06-27,50.86
2023-06-28,50.87
2023-06-29,51.21
2023-06-30,51.74
2023-07-01,51.74
2023-07-02,51.74
2023-07-03,51.82
2023-07-04,51.82
2023-07-05,51.51
2023-07-06,51.11
2023-07-07,50.99
2023-07-08,50.99
2023-07-09,50.99
2023-07-10,51.4
2023-07-11,52.12
2023-07-12,50.74
2023-07-13,51.53
2023-07-14,50.38
2023-07-15,50.38
2023-07-16,50.38
2023-07-17,50.81
2023-07-18,51.24
2023-07-19,52.43
2023-07-20,52.37
2023-07-21,52.63
2023-07-22,52.63
2023-07-23,52.63
2023-07-24,53.11
2023-07-25,53.6
2023-07-26,53.22
2023-07-27,53.0
2023-07-28,52.09
2023-07-29,52.09
2023-07-30,52.09
2023-07-31,52.04
2023-08-01,52.66
2023-08-02,52.58
2023-08-03,53.15
2023-08-04,52.63
2023-08-05,52.63
2023-08-06,52.63
2023-08-07,53.01
